http://txt.kesug.com/users/HKTV.txt
HKTV,#genre#
astr-欢喜,http://iptv.4666888.xyz/iptv.php?id=20260
中旺电视,http://iptv.4666888.xyz/iptv.php?id=20187
HISTORy,http://iptv.4666888.xyz/iptv.php?id=20283
ONE韩综,http://iptv.4666888.xyz/iptv.php?id=20255
rock娱乐,http://iptv.4666888.xyz/iptv.php?id=20275
Star'电影,http://iptv.4666888.xyz/iptv.php?id=20257
AXN电影,http://iptv.4666888.xyz/iptv.php?id=20254
ANIMAX,http://iptv.4666888.xyz/iptv.php?id=20258
动物星球,http://iptv.4666888.xyz/iptv.php?id=20277











极限,http://live.urren.net:80/live/ca992f0f5fb2b7c99a823177308bd3b4.flv
happy,http://live.urren.net:80/live/1cb427581f3c8587bd1b9cf83ba27010.flv
香蕉,http://live.urren.net:80/live/6ce91366a71c01c7c8e2c41e51a8590f.flv
惊艳,http://live.urren.net:80/live/40e271fa6d2269a61091a3c3ce56f154.flv
潘朵拉,http://live.urren.net:80/live/efeba952987b3386cea51bb8de5b5163.flv
彩虹电影,http://live.urren.net:80/live/1a3379adcd24608e4095f4648b59a24a.flv
K频道,http://live.urren.net:80/live/f6138882f73fe5fe44bd4cde6396520a.flv
E频道,http://live.urren.net:80/live/a178f2d2b03ffbb5feeae97f41217dd8.flv
松视3,http://live.urren.net:80/live/fb8b44b311f9d73be1d0c91e93c5fd16.flv
松视1,http://live.urren.net:80/live/6de9a8c5d19ba3b606b6265f419df847.flv
pigo,http://live.jnjyapp.cn:80/live/2365d4f94d957afc63ee41ade49b532e.flv
