🇨🇳央视IPTV,#genre#
CCTV2,http://123.129.70.178:9901/tsfile/live/0002_1.m3u8$线路111
CCTV2,http://101.66.199.144:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$线路112
CCTV2,http://183.11.239.36:808/hls/20/index.m3u8$线路113
CCTV2,http://120.198.95.220:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&down=1$线路114
CCTV2,http://112.46.105.20:8009/hls/502/index.m3u8$线路115
CCTV2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路116
CCTV2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8$线路117
CCTV2,http://101.66.199.251:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$线路118
CCTV2,http://222.134.245.16:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路119
CCTV2,http://222.134.245.16:9901/tsfile/live/0002_1.m3u8?key=txiptv&url=tvzb.com$线路120
CCTV2,http://113.25.252.226:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$线路121
